window_id,src_ip,dst_ip,mean_inter_arrival,std_inter_arrival,burstiness,syn_count,rst_count,syn_ratio,rst_ratio,zero_payload_ratio,flow_count_per_window,label
26,192.168.153.138,192.168.153.149,0.2058897415796915,0.6394707810803056,3.1058894735306297,2,0,0.08,0.0,0.6,66,1
26,192.168.153.138,192.168.153.149,0.2005455585626455,0.7359795442788967,3.6698870299288857,2,0,0.074074074074074,0.0,0.6296296296296297,66,1
26,192.168.153.138,192.168.153.149,0.0166170597076416,0.0180749110673369,1.0877322092683408,0,0,0.0,0.0,0.8,66,1
26,192.168.153.138,192.168.153.149,0.0093942880630493,0.0109155971611056,1.1619397965919465,2,2,0.2222222222222222,0.2222222222222222,0.7777777777777778,66,1
26,192.168.153.138,192.168.153.149,0.222878078619639,0.848761182458956,3.8081860168376687,2,0,0.08,0.0,0.6,66,1
26,192.168.153.138,192.168.153.149,0.066493136542184,0.1100106984833067,1.654466975151859,2,0,0.0909090909090909,0.0,0.5909090909090909,66,1
26,192.168.153.138,192.168.153.149,0.036661958694458,0.0307397456437091,0.8384643575618859,0,0,0.0,0.0,0.8333333333333334,66,1
26,192.168.153.138,192.168.153.149,0.0256600081920623,0.0307494017421397,1.1983395138451944,2,2,0.2222222222222222,0.2222222222222222,0.7777777777777778,66,1
26,192.168.153.138,192.168.153.149,0.0100892384847005,0.0108441069467152,1.074819171254547,0,0,0.0,0.0,0.75,66,1
26,192.168.153.138,192.168.153.149,0.0522188901901245,0.0671659888308571,1.286239301262656,2,0,0.0952380952380952,0.0,0.5714285714285714,66,1
26,192.168.153.138,192.168.153.149,0.1801709120090191,0.6887788993989882,3.822919536337302,2,0,0.074074074074074,0.0,0.6296296296296297,66,1
26,192.168.153.138,192.168.153.149,2.3603439331054688e-05,0.0,0.0,0,0,0.0,0.0,1.0,66,1
26,192.168.153.138,192.168.153.149,0.0488649341795179,0.0809690848719978,1.6569977271336742,2,0,0.1052631578947368,0.0,0.5263157894736842,66,1
26,192.168.153.138,192.168.153.149,0.024739921092987,0.0341728263805155,1.381282755594655,0,0,0.0,0.0,0.8,66,1
26,192.168.153.138,192.168.153.149,0.0120256628308977,0.0117384995064517,0.9761207903062,2,1,0.25,0.125,0.75,66,1
26,192.168.153.138,192.168.153.149,0.010674340384347,0.0126930485547782,1.1891178375191542,2,1,0.25,0.125,0.75,66,1
26,192.168.153.138,192.168.153.149,0.0087452888488769,0.0134287679115988,1.5355430956775526,2,2,0.1818181818181818,0.1818181818181818,0.8181818181818182,66,1
26,192.168.153.138,192.168.153.149,0.1450668705834282,0.5679877679685831,3.915351352684844,2,0,0.0714285714285714,0.0,0.5714285714285714,66,1
26,192.168.153.138,192.168.153.149,0.0381793230772018,0.0402222380619937,1.053508412934952,2,0,0.1176470588235294,0.0,0.4705882352941176,66,1
26,192.168.153.138,192.168.153.149,0.0194813609123229,0.0207108426231047,1.0631106685161833,0,0,0.0,0.0,0.8,66,1
26,192.168.153.138,192.168.153.149,0.029552868434361,0.052272282037145,1.7687718589227763,2,1,0.25,0.125,0.75,66,1
26,192.168.153.138,192.168.153.149,0.0295120988573346,0.0524416536964036,1.7769543924989355,2,1,0.25,0.125,0.75,66,1
26,192.168.153.138,192.168.153.149,0.0437022844950358,0.048482006456884,1.1093700710861285,2,0,0.1052631578947368,0.0,0.5263157894736842,66,1
26,192.168.153.138,192.168.153.149,0.0252681970596313,0.0227817084461354,0.901596120703508,2,0,0.0952380952380952,0.0,0.5238095238095238,66,1
26,192.168.153.138,192.168.153.149,0.0282324986024336,0.0318458176527227,1.1279843878209794,2,0,0.0869565217391304,0.0,0.5652173913043478,66,1
26,192.168.153.138,192.168.153.149,0.0166645348072052,0.0233049912778121,1.39847835822791,2,2,0.2222222222222222,0.2222222222222222,0.7777777777777778,66,1
26,192.168.153.138,192.168.153.149,0.0319981707466973,0.0325160103472054,1.0161834126271605,2,0,0.1052631578947368,0.0,0.5263157894736842,66,1
26,192.168.153.138,192.168.153.149,0.0097842897687639,0.011469447617425,1.172230983391451,2,1,0.25,0.125,0.75,66,1
26,192.168.153.138,192.168.153.149,0.0179875578199114,0.0248747037852142,1.382883881973077,2,1,0.25,0.125,0.75,66,1
26,192.168.153.138,192.168.153.149,0.0566116869449615,0.0906281658346969,1.6008737899438772,2,2,0.2222222222222222,0.2222222222222222,0.7777777777777778,66,1
26,192.168.153.138,192.168.153.149,0.1223586400349934,0.1458096991988035,1.1916583835608443,0,0,0.0,0.0,0.75,66,1
26,192.168.153.138,192.168.153.149,0.0441028177738189,0.0822203523187043,1.8642879631947984,2,2,0.2222222222222222,0.2222222222222222,0.7777777777777778,66,1
26,192.168.153.138,192.168.153.149,0.0315487384796142,0.0513916015558634,1.6289590022457168,2,2,0.2222222222222222,0.2222222222222222,0.7777777777777778,66,1
26,192.168.153.138,192.168.153.149,0.0251098660861744,0.0312758963446759,1.2455620526744462,2,0,0.1111111111111111,0.0,0.5555555555555556,66,1
26,192.168.153.138,192.168.153.149,0.0082091391086578,0.0133493032708401,1.6261514263732264,2,1,0.2222222222222222,0.1111111111111111,0.7777777777777778,66,1
26,192.168.153.138,192.168.153.149,0.008171260356903,0.0132608456839189,1.6228641732993074,2,1,0.2222222222222222,0.1111111111111111,0.7777777777777778,66,1
26,192.168.153.138,192.168.153.149,0.0263795852661132,0.0394086039735793,1.4939053656845371,2,0,0.0952380952380952,0.0,0.5714285714285714,66,1
26,192.168.153.138,192.168.153.149,0.0067192614078521,0.013942812317087,2.0750513294204285,2,1,0.2222222222222222,0.1111111111111111,0.7777777777777778,66,1
26,192.168.153.138,192.168.153.149,0.026296151311774,0.040431956719442,1.537561761037587,2,0,0.1,0.0,0.55,66,1
26,192.168.153.138,192.168.153.149,0.0101367746080671,0.0116980627353094,1.1540221803886046,2,1,0.25,0.125,0.75,66,1
26,192.168.153.138,192.168.153.149,0.0073442799704415,0.0090794164518994,1.236256854101602,2,1,0.25,0.125,0.75,66,1
26,192.168.153.138,192.168.153.149,0.0310908744209691,0.0270524176197214,0.8701079697351974,2,0,0.1,0.0,0.55,66,1
