window_id,src_ip,dst_ip,mean_inter_arrival,std_inter_arrival,packet_count,syn_count,rst_count,zero_payload_count,packet_size_std,unique_packet_sizes,flow_count_per_window,label
18,192.168.153.138,192.168.153.149,0.1341334673074575,0.4909446388840967,27,1,0,16,353.3125081214387,10,89,1
18,192.168.153.138,192.168.153.149,0.0,0.0,1,0,1,1,0.0,1,89,1
18,192.168.153.138,192.168.153.149,0.2576228777567546,0.6537376473971714,10,0,0,7,33.53565266995709,3,89,1
18,192.168.153.138,192.168.153.149,1.4066696166992188e-05,0.0,2,0,0,2,0.0,1,89,1
18,192.168.153.138,192.168.153.149,0.0541539788246154,0.0573330851036273,5,0,0,4,20.8,2,89,1
18,192.168.153.138,192.168.153.149,0.0088950225285121,0.0095869236417961,8,2,1,6,9.971835337589566,3,89,1
18,192.168.153.138,192.168.153.149,0.0161118507385253,0.0214776065252985,5,0,0,4,20.8,2,89,1
18,192.168.153.138,192.168.153.149,0.211324965512311,0.8749580890045366,28,2,0,17,348.09729902979245,10,89,1
18,192.168.153.138,192.168.153.149,0.1893810500269351,0.7408408370550185,24,2,0,14,372.2954975553693,10,89,1
18,192.168.153.138,192.168.153.149,0.0442284856523786,0.0781727015246745,8,0,0,7,17.19738352191984,2,89,1
18,192.168.153.138,192.168.153.149,0.0321749316321478,0.0676106215400481,10,2,1,8,9.210863151735564,3,89,1
18,192.168.153.138,192.168.153.149,0.1814701557159423,0.7279140500081506,26,2,0,16,359.89414124073807,10,89,1
18,192.168.153.138,192.168.153.149,0.0222197175025939,0.0151698907628006,5,0,0,4,20.8,2,89,1
18,192.168.153.138,192.168.153.149,0.1629804670810699,0.6143008629184372,25,2,0,15,365.9442055833102,10,89,1
18,192.168.153.138,192.168.153.149,0.015281319618225,0.0158639959760482,5,0,0,4,20.8,2,89,1
18,192.168.153.138,192.168.153.149,0.0134912729263305,0.0217496440927503,5,0,0,4,20.8,2,89,1
18,192.168.153.138,192.168.153.149,0.1833240102838587,0.7403708832744703,28,2,0,18,348.6129585915578,10,89,1
18,192.168.153.138,192.168.153.149,0.0151376383645193,0.0195299623385806,8,2,1,6,9.971835337589566,3,89,1
18,192.168.153.138,192.168.153.149,0.1498421386436179,0.6385205978409384,28,2,0,17,348.09729902979245,10,89,1
18,192.168.153.138,192.168.153.149,0.0385792255401611,0.0341917760463979,4,0,0,3,22.516660498395403,2,89,1
18,192.168.153.138,192.168.153.149,0.1906324757470024,0.7828128789118155,28,2,0,18,348.55359292776933,10,89,1
18,192.168.153.138,192.168.153.149,0.0210168361663818,0.0274467014899469,5,0,0,4,20.8,2,89,1
18,192.168.153.138,192.168.153.149,0.0241261422634124,0.0327029614847667,9,2,2,7,9.573626323794674,3,89,1
18,192.168.153.138,192.168.153.149,0.1549370642061587,0.5711686033993957,28,2,0,18,348.61295859155786,10,89,1
18,192.168.153.138,192.168.153.149,0.011012315750122,0.0169481912011909,5,0,0,4,20.8,2,89,1
18,192.168.153.138,192.168.153.149,0.1781289944281945,0.699995504510444,27,2,0,16,353.5732239457027,10,89,1
18,192.168.153.138,192.168.153.149,0.0183507601420084,0.0230978227202911,4,0,0,3,22.516660498395403,2,89,1
18,192.168.153.138,192.168.153.149,0.0178260505199432,0.0182960301475652,9,2,2,7,9.573626323794674,3,89,1
18,192.168.153.138,192.168.153.149,0.1767924571859425,0.6337109917521624,30,2,0,19,337.6476862056069,10,89,1
18,192.168.153.138,192.168.153.149,0.1263462305068969,0.4037195714440446,29,2,0,18,342.6434275313623,10,89,1
18,192.168.153.138,192.168.153.149,0.0159042596817016,0.0323886264153482,11,2,2,9,8.881217994050774,3,89,1
18,192.168.153.138,192.168.153.149,0.010528564453125,0.0104694896980137,5,0,0,4,20.8,2,89,1
18,192.168.153.138,192.168.153.149,0.1004621187845866,0.2983652687524344,28,2,0,16,357.783047647137,10,89,1
18,192.168.153.138,192.168.153.149,0.1637695261410304,0.653989332144638,29,2,0,17,342.3672225857349,10,89,1
18,192.168.153.138,192.168.153.149,0.0146935582160949,0.015163596663551,5,0,0,4,20.8,2,89,1
18,192.168.153.138,192.168.153.149,0.104530013840774,0.3408452783837982,30,2,0,19,337.84523083802736,10,89,1
18,192.168.153.138,192.168.153.149,0.0493196964263916,0.0404139855688692,6,0,0,5,19.37925580499818,2,89,1
18,192.168.153.138,192.168.153.149,0.0130477845668792,0.0151548176786812,9,2,2,7,9.573626323794674,3,89,1
18,192.168.153.138,192.168.153.149,0.1188119029998779,0.4376746622849583,26,2,0,16,359.81534547631054,10,89,1
18,192.168.153.138,192.168.153.149,0.1560691928863525,0.6142685485392229,26,2,0,16,359.89414124073807,10,89,1
18,192.168.153.138,192.168.153.149,0.2341797718634972,0.9322748755995752,27,2,0,17,354.123644445772,10,89,1
18,192.168.153.138,192.168.153.149,0.1971920728683471,0.7152735546085972,27,2,0,17,354.123644445772,10,89,1
18,192.168.153.138,192.168.153.149,0.1928374767303466,0.7381285225939229,25,2,0,15,365.94420558331024,10,89,1
18,192.168.153.138,192.168.153.149,0.1947550177574157,0.6232232863862723,25,2,0,15,365.94420558331024,10,89,1
18,192.168.153.138,192.168.153.149,0.020153522491455,0.0269195403352022,9,2,2,7,9.573626323794674,3,89,1
18,192.168.153.138,192.168.153.149,0.0230359690529959,0.0275689089868707,8,2,1,6,9.971835337589566,3,89,1
18,192.168.153.138,192.168.153.149,0.012594805823432,0.0191137642225625,10,2,1,8,9.210863151735564,3,89,1
18,192.168.153.138,192.168.153.149,0.0167447566986084,0.0192059884315988,11,2,3,9,8.881217994050774,3,89,1
18,192.168.153.138,192.168.153.149,0.1784277534484863,0.652031759796394,26,2,0,16,359.89414124073807,10,89,1
18,192.168.153.138,192.168.153.149,0.0614725053310394,0.1386866441532157,9,2,2,7,9.573626323794674,3,89,1
18,192.168.153.138,192.168.153.149,0.205996443827947,0.7473038906639847,25,2,0,14,365.3127974763545,10,89,1
18,192.168.153.138,192.168.153.149,0.2362844844659169,0.8496306446699057,25,2,0,15,365.8539511881756,10,89,1
18,192.168.153.138,192.168.153.149,0.1760990455232817,0.5626494540804741,30,2,0,19,337.6476862056069,10,89,1
18,192.168.153.138,192.168.153.149,0.2468502223491668,0.776588497371143,25,2,0,15,365.94420558331024,10,89,1
18,192.168.153.138,192.168.153.149,0.2773119163513183,0.8992882688103316,26,2,0,16,359.89414124073807,10,89,1
18,192.168.153.138,192.168.153.149,0.2624699401855468,0.8140099005672852,26,2,0,16,359.89414124073807,10,89,1
18,192.168.153.138,192.168.153.149,0.0674627423286438,0.1113231510734777,9,2,2,7,9.573626323794674,3,89,1
18,192.168.153.138,192.168.153.149,0.2036822335473422,0.7220063815194133,30,2,0,20,338.3005172919485,10,89,1
18,192.168.153.138,192.168.153.149,0.1674627494812011,0.4997013647378401,26,2,0,16,359.89414124073807,10,89,1
18,192.168.153.138,192.168.153.149,0.2857968892369951,1.087855196128242,29,2,0,18,342.8599863989439,10,89,1
